presentation_id,presentation_number,title,session_title,session_id,start,end,posterboard_number,authors,affiliation,abstract,disclosures,presenter,activity,status,keywords_field,topics_field,products,source_keywords,presentation_url
10001,1201,Spatial 3D and multi-omics mapping of diffuse gastric cancer evolution from preinvasive to invasive lesions in CDH1 mutation carriers,Spatial Proteomics and Transcriptomics 1,272,4/19/2026 2:00:00 PM,4/19/2026 5:00:00 PM,2,"Yunhe Liu, Idania Carolina Lubo Julio, Wei Lu, Alejandra G. Serrano, Jean R. Clemenceau, Amber Famiglietti, Karen Colbert, Yibo Dai, Yang Liu, Jun Wang, Jeremy L. Davis, Mingyao Li, Paul F. Mansfield, Tae Hyun Hwang, Luisa M. Solis-Soto, Linghua Wang","Department of Genomic Medicine, The University of Texas MD Anderson Cancer Center, Houston, TX | Department of Translational and Molecular Pathology, The University of Texas MD Anderson Cancer Center, Houston, TX | Department of Surgery, Vanderbilt University Medical Center, Nashville, TN | National Institute of Dental and Craniofacial Research, National Institutes of Health, Bethesda, MD | Department of Clinical Cancer Prevention, The University of Texas MD Anderson Cancer Center, Houston, TX | BioChemistry&Molecular Biology, University of Maryland School of Medicine, Baltimore, MD | University of Pennsylvania, Philadelphia, PA | Vice President, Acute Care Services, UT MD Anderson Cancer Ctr., Houston, TX | Department of Translational Molecular Pathology, the university of MD Anderson cancer center, Houston, TX","Background: Hereditary diffuse-type gastric cancer (DGC) lacks a defined precursor sequence. Germline CDH1 loss-of-function mutations confer a high lifetime risk, and prophylactic gastrectomies in asymptomatic carriers frequently reveal numerous occult intramucosal signet-ring cell (SRC) foci that can remain indolent for years. The biological mechanisms underlying the progression from these indolent SRC foci to invasive DGC remain largely unknown. Methods: We profiled primary DGCs from 26 patients, sampling the full histologic continuum from SRC foci to invasive lesions and overtly invasive fronts. Whole-slide sections were pathologist-annotated for tumor subtype and key microenvironmental features. Serial sections were assayed with complementary spatial multi-omics platforms: GeoMx DSP, Visium, Xenium Prime 5K with post hoc Codex (IO60), and CosMx (WTX). Selected specimens also underwent high-plex spatial multi-omics sequencing (transcriptome/protein/TCR/BCR) using Singular G4X, as well as 3D modeling with both Singular G4X and holotomography (HT-X1). Cross-platform datasets were co-registered to common coordinates; cell segmentation, phenotype annotation, and neighborhood/niche mapping quantified transcriptomic dynamics and tumor-microenvironment interactions across regions spanning preinvasive to invasive lesions. Integration of Singular G4X and Label-free holotomography provided 3D context. Results: Spatial transcriptomic profiling revealed invasion-associated transcriptional programs along the SRC-to-invasive continuum. The meta-programs (MPs) associated with discrete stages of progression were defined. Histology-integrated analyses highlighted invasion-depth-dependent shifts in cell-cycle, EMT, and stress-metabolism pathways, and trajectory/differentiation analyses supported a continuous invasion axis. Copy-number inference indicated two evolution trajectories, linear and branched. Single-cell-resolution spatial multi-omics refined tumor cell-state signatures and their spatial neighborhoods, revealing lymphocyte-dominant microenvironmental states at early lesions and stromal/myeloid remodeling with deeper invasion, corroborated by multiplex proteomics (IO60). Cross-section registration with label-free 3D holotomography generated volumetric reconstructions mapping coherent clonal sectors and concordant TME remodeling along the invasion axis. Conclusions: We present a spatial multi-omic atlas of DGC progression. The work delineates subtype- and region-specific gene programs, clonal architectures, and TME remodeling at high spatial and molecular resolution, modeling disease progression in 3D. Our findings identify candidate biomarkers of progression, risk stratification, and potential therapeutic interception of SRC tumorigenesis in CDH1 mutation carriers.","Y. Liu, None.. | I. C. Lubo Julio, None.. | W. Lu, None.. | A. G. Serrano, None.. | J. R. Clemenceau, None.. | A. Famiglietti, None.. | K. Colbert, None.. | Y. Dai, None.. | Y. Liu, None.. | J. Wang, None.. | J. L. Davis, None.. | T. Hwang, None.. | L. Wang, None.","Yunhe Liu, PhD",Abstract Submission,Presenting,"Stomach cancer,Spatial multi-omics,Signet-ring cell (SRC) foci,3D models,","++CL01-08 Spatial proteomics and transcriptomics,,",Xenium; Visium; CosMx; GeoMx; G4X,Xenium; Xenium + 5K; Visium; CosMx; GeoMx; G4X,https://www.abstractsonline.com/pp8/#!/21436/presentation/10001
3258,5524,Visualization and analysis of cancer genomics data using UCSC Xena,New Software Tools for Data Analysis,234,4/21/2026 2:00:00 PM,4/21/2026 5:00:00 PM,29,"Mary Goldman, Brian Craft, Cally Lin, Jingchun Zhu, David Haussler","UC Santa Cruz Genomics Institute, Santa Cruz, CA | Stanford University, San Francisco, CA | Investigator/Distinguished Professor, Ctr. For Bio. Sci. & Eng., UC Santa Cruz, Santa Cruz, CA","UCSC Xena (http://xena.ucsc.edu/) is a web-based visual integration and exploration tool for both bulk and single-cell multi-omic data, and associated clinical and phenotypic annotations. Researchers can easily view and explore public data, their own private data (bulk only), or both using the Xena Browser. Private data are kept on the researcher's computer and are never uploaded to our public servers. We support Mac, Windows, and Linux. Questions Xena can help you answer:* Is overexpression of this gene associated with survival differences?* What genes are differentially expressed between these two groups of samples?* What is the relationship between mutation, copy number, expression, etc for this gene? Xena visualizes seminal cancer genomics datasets from TCGA, the Pan-Cancer Atlas, GDC (a complete update from 2024, including new data from CPTAC3 and HCMI), PCAWG, ICGC, and more; a total of more than 1500 datasets across 50 cancer types. We support virtually any type of functional genomics data: SNPs, INDELs, copy number variation, gene expression, ATAC-seq, DNA methylation, exon-, transcript-, miRNA-, lncRNA-expression and structural variants. We also support clinical data such as phenotype information, subtype classifications and biomarkers. All of our data is available for download via python or R APIs, or using our URL links. Our signature Visual Spreadsheet view shows multiple data types side-by-side enabling discovery of correlations across and within genes and genomic regions. We also have dynamic Kaplan-Meier survival analysis, powerful filtering and subgrouping, differential gene expression analysis, GSEA, charts, statistical analyses, genomic signatures, and the ability to generate URLs to live views. We now visualize single-cell data, primarily gene, transcript, and protein expression, from spatially-resolved and disassociated single cell datasets. Using Xena, researchers can visualize 2D or 3D embedding views, such as tSNE and UMAP as well as the spatial imaging views, such as H&E, multiplex immunofluorescence, and co-registration of both. Crucially, we overlay genomic data — such as gene and protein expression, genomic signature scores, cell annotations, and label transfer information — on top of these images dynamically. We support a diverse range of data modalities ranging from 10x Chromium and Smartseq2 platforms for scRNA-seq and 10x scATAC-seq, to spatial transcriptomics platforms of Visium, Visium HD, Xenium, CosMx, and MERFISH/Vizgen, to imaging proteomics such as t-CycIF, CODEX, and MIBI-TOF. We showcase data from the HTAN data portal. If you use us please cite our publication in Nature Biotechnology: https://www.nature.com/articles/s41587-020-0546-8","M. Goldman, | Fred Hutchinson Cancer Research Center Independent Contractor. | B. Craft, None.",Mary Goldman,Abstract Submission,Presenting,"Bioinformatics,Visualization,Databases,Multiomics,","++BCS01-12 New software tools for data analysis,,",Xenium; Visium; Chromium; CosMx; MerFISH,Xenium; Visium; Chromium; 10X; CosMx; MerFISH,https://www.abstractsonline.com/pp8/#!/21436/presentation/3258
3157,1476,Improve spatial transcriptomic data with integrated hybrid transformer and graph convolutional networks,Integrative Computational Approaches 1,231,4/20/2026 9:00:00 AM,4/20/2026 12:00:00 PM,15,"Steven Yan, Limin Jiang, Yan Guo","University of Miami Miller School of Medicine, Miami, FL | University of Miami, Miami, FL","Spatial transcriptomics technologies have revolutionized genomics by enabling the measurement of gene expression while preserving the spatial context of cells within tissues. However, their utility is limited by restricted gene coverage and high operational costs. To overcome these challenges, we previously developed generative AI approaches for imputing gene expression [1] and DNA methylation [2]. Building on this foundation, we now present TransGCN, a hybrid neural network model that integrates transformer architectures with graph convolutional networks to enhance spatial transcriptomic datasets through high-fidelity gene expression imputation. For example, TransGCN can expand a 500-gene Xenium panel to more than 1,500 to 2,000 genes. We systematically evaluated TransGCN across three leading spatial transcriptomic platforms: 10x Genomics Visium HD, Xenium, and Bruker CosMx, and six tissue types, including lung, brain, breast, skin, colon, and ovarian. Beyond previously leveraged features (e.g., 3D chromatin interactions from Hi-C, biological pathways, transcription factor networks, and protein-protein interactions), we incorporated spatial and housekeeping features derived from scRNA-seq (19,363 cells) and bulk RNA-seq (418,074 samples). Compared with existing imputation tools, TransGCN consistently achieved higher accuracy while enabling the recovery of a broader gene set, thereby substantially extending the analytical power of spatial transcriptomics. References 1. Yan, F.Y., et al., Reinventing gene expression connectivity through regulatory and spatial structural empowerment via principal node aggregation graph neural network. Nucleic Acids Research, 2024. 52(13). 2. Yan, F., et al., Genome-wide methylome modeling via generative AI incorporating long- and short-range interactions. Sci Adv, 2025. 11(15): p. eadt4152.","S. Yan, None.. | L. Jiang, None.. | Y. Guo, None.",Yan Guo,Abstract Submission,Presenting,"Transcription,Deep learning,Single cell,,","++BCS01-06 Integrative computational approaches,,",Xenium; Visium; CosMx,Xenium; Visium; 10X; CosMx; Bruker,https://www.abstractsonline.com/pp8/#!/21436/presentation/3157
8150,3444,Spatial profiling of recurrent glioblastoma in a Phase I clinical trial reveals favorable immune remodeling induced by intracerebroventricular CAR T therapy,Microenvironmental Determinants of Therapy Response and Resistance 1,518,4/20/2026 2:00:00 PM,4/20/2026 5:00:00 PM,16,"Wesley V. Wilson, MacLean P. Nasrallah, Nakial Cross, Yael A. Day, Vanessa Gonzalez, Rachel M. Leskowitz, Amy Marshall, Julie K. Jadlowsky, Gabriela Plesa, Donald L. Siegel, Elizabeth O. Hexner, Joseph A. Fraietta, Carl H. June, Stephen J. Bagley, Donald O’Rourke, Zev Binder, Andrew J. Rech","Princess Margaret Cancer Centre, University Health Network, Toronto, ON, Canada | Penn Medicine, Philadelphia, PA | Perelman School of Medicine Univ. of Pennsylvania, Philadelphia, PA | CCI, Penn Medicine, Philadelphia, PA | University of Pennsylvania, Philadelphia, PA | Program Director of Translational Research, Abramson Family Cancer Research Inst, University of Pennsylvania, Philadelphia, PA","Recurrent glioblastoma (rGBM) is an aggressive brain tumor with median survival under one year after standard chemoradiation. Antigen heterogeneity, immune exclusion, and a suppressive tumor microenvironment (TME) limit responses to immunotherapy. A first-in-human phase 1 trial of intracerebroventricular EGFR/IL13Rα2 CAR T cells (CART-EGFR-IL13Rα2) in EGFR-amplified rGBM was feasible, produced manageable neurotoxicity, and induced radiographic tumor regressions in a subset of patients (NCT05168423). To understand how this therapy reshapes the local TME, we analyzed paired tumor resections from 6 patients enrolled in the phase 1 trial, with specimens obtained from the primary intracranial disease site at trial enrollment (pre-treatment) and at radiographic progression after CART‑EGFR‑IL13Rα2 infusion. Multimodal spatial profiling included regional transcriptomic and protein mapping (GeoMx), single-cell whole-transcriptome imaging (CosMx), and high-resolution spatial transcriptomics (Visium HD). We annotated tumor, myeloid, lymphoid, and stromal compartments and derived composite scores for stemness, invasion, cell death, and immune regulation. Neighborhood- and interaction-based analyses were used to compare cellular states and cell-cell communication. Across patients, post-treatment samples showed reduced expression of CAR target antigen and a shift in tumor-intrinsic programs toward less stem-like, less migratory, and more apoptotic states, despite radiographic progression. The post-treatment TME was remodeled, with fewer suppressive myeloid- and B-cell-rich niches and increases in interferon-responsive and T cell-associated activation programs. Spatial interaction analyses indicated that pre-treatment rGBM contained dense networks of myeloid-tumor and myeloid-T-cell contacts consistent with impaired antigen presentation and effector function. Post-treatment specimens, in contrast, showed partial disruption of these suppressive circuits and the emergence of microenvironments more permissive to T-cell infiltration and activity. In the parent phase 1 trial, CART-EGFR-IL13Rα2 was feasible & induced radiographic tumor regressions in a subset of patients. This correlative spatial analysis suggests that prior EGFR/IL13Rα2 CAR T exposure can leave a less suppressive, more immunologically engaged TME at the primary site, even in resections obtained at radiographic progression. Together, these data support the idea that intracerebroventricular CAR T therapy may condition rGBM for subsequent immunotherapy. Myeloid and B-cell interactions are highlighted as candidate targets for armoring next-generation CAR T cells and for designing rational combination and sequencing strategies.","W. V. Wilson, None.. | J. K. Jadlowsky, None.",Wesley Wilson,Abstract Submission,Presenting,"CAR T cells,Glioblastoma,Multiomics,Tumor microenvironment,","++TB10-12 Spatial heterogeneity in the tumor microenvironment,,",Visium; CosMx; GeoMx,Visium; CosMx; GeoMx,https://www.abstractsonline.com/pp8/#!/21436/presentation/8150
9565,6576,Integrative spatial transcriptomics reveals EMT-driven immune regulatory programs underlying metastasis in HNSCC,"Inflammation, Immunity, and Cancer",296,4/21/2026 2:00:00 PM,4/21/2026 5:00:00 PM,9,"Chih-Hung Chung, Han-Hsun Yu, Muh-Hwa Yang","National Yang Ming Chiao Tung University, Taipei, Taiwan","Head and neck squamous cell carcinoma (HNSCC) is a globally prevalent malignancy. Standard treatment typically involves surgical resection, radiotherapy, and chemotherapy. However, for patients with recurrent or distantly metastatic disease for whom surgery or radiation is no longer feasible, systemic therapy consisting of targeted agents combined with chemotherapy or immune checkpoint inhibitors (ICI) becomes the mainstay of management. Despite these advances, clinical outcomes remain suboptimal, underscoring the urgent need to elucidate how immune cell composition and functional states are altered within the tumor microenvironment (TME) of aggressive or metastatic tumors. Such insights are essential for improving the therapeutic effectiveness of ICIs in HNSCC. The objective of this study was to characterize TME compositional changes across diverse HNSCC specimens. We employed the GeoMx Digital Spatial Profiler (DSP) to perform high-resolution, imaging-guided spatial transcriptomic profiling. By comparing EMT-related gene signatures enriched at the invasive tumor front, we identified significant upregulation of canonical EMT markers—including FN1, CD44, and ITGB1. To further dissect the regulatory programs associated with ITGB1-high tumor cells, we applied Single-Cell Regulatory Network Inference and Clustering (SCENIC), which revealed distinct regulon activities. Notably, IRF-associated signaling emerged as a major downstream regulatory pathway in ITGB1-high EMT tumor populations. Subsequently, we analyzed HNSCC tissues using integrative spatial-omics (10x Visium and 10x Xenium) approaches and identified a clear transcriptional trajectory of tumor EMT states. To directly assess how EMT-high tumor cells modulate surrounding immune cells, we performed NicheNet ligand-receptor analysis, which revealed pronounced alterations in ligand-receptor interactions shaping the immune landscape of malignant HNSCC. Collectively, these findings provide mechanistic insights into EMT-driven immune suppression and highlight actionable TME features that could guide personalized therapeutic strategies for patients with head and neck cancer.","C. Chung, None.. | H. Yu, None.. | M. Yang, None.","CHIHHUNG CHUNG, PhD",Abstract Submission,Presenting,"Epithelial-mesenchymal transition (EMT),Tumor microenvironment,Immunosuppression,Head and neck squamous cell carcinoma,","++CL05-09 Inflammation, immunity, and cancer,,",Xenium; Visium; GeoMx,Xenium; Visium; 10X; GeoMx,https://www.abstractsonline.com/pp8/#!/21436/presentation/9565
3267,6895,DISSECT integrates cytological images and spatial transcriptomics for cell segmentation,New Algorithms and Computational Methods,235,4/22/2026 9:00:00 AM,4/22/2026 12:00:00 PM,8,"Yufeng He, Yanping Zhao, Rui Zhang, Heli Yang, Zhaode Bu, Yuan Luo, Deng Pan, Zexian Zeng","Peking-Tsinghua Center for Life Sciences, Academy for Advanced Interdisciplinary Studies, Peking University, Beijing, China | Tsinghua-Peking Center for Life Sciences, School of Life Sciences, Tsinghua University, Beijing, China | Center of Gastrointestinal Cancer, Peking University Cancer Hospital & Institute, Peking University, Beijing, China | Department of Preventive Medicine, Feinberg School of Medicine, Northwestern University, Chicago, IL | Tsinghua-Peking Center for Life Sciences, Department of Basic Medical Sciences, Tsinghua University, Beijing, China","Advances in both imaging- and sequencing-based spatial transcriptomics technologies have significantly increased panel size and resolution, enabling the measurement and analysis of spatially resolved single-cell transcriptomics. However, challenges remain in accurately segmenting cells due to variability in cell morphology, tissue processing, and staining methods, leading to reduced accuracy and poor generalization of existing cell segmentation algorithms. To address this, we propose DISSECT, a novel cell segmentation model that combines cytological image segmentation with transcriptome-guided fine-tuning. DISSECT leverages a pre-trained deep generative model to identify cell nuclei or membrane boundaries, unifies the gradient fields of both images and transcriptomics to refine cell boundaries, and reconstructs spatial single-cell transcriptomes. We benchmarked DISSECT using the ground-truth dataset profiled by the Visium HD, Stereo-seq, Xenium 5k, and CosMx 6k platforms, demonstrating higher mean average precision than other tools. Furthermore, evaluations on independent 10x Xenium 1k, Nanostring CosMx 1k, and Stereo-seq datasets further validate that DISSECT achieves superior segmentation accuracy, especially in densely packed cell regions. Additionally, DISSECT was applied to three paired gastric adenocarcinoma samples, which we collected before and after PD-1 treatment and sequenced using Stereo-seq, a transcriptome-wide NGS-based sequencing technology, showcasing its potential for driving in-depth biological discoveries.","Y. He, None.. | Y. Zhao, None.. | R. Zhang, None.. | H. Yang, None.. | Z. Bu, None.. | Y. Luo, None.. | D. Pan, None.. | Z. Zeng, None.","Yufeng He, B Eng",Abstract Submission,Presenting,"Deep learning,Spatial transcriptomics,Cell segmentation,Tumor microenvironment,","++BCS01-11 New algorithms,,",Xenium; Visium; CosMx,Xenium; Xenium + 5K; Visium; 10X; CosMx,https://www.abstractsonline.com/pp8/#!/21436/presentation/3267
5612,478,Implementation of single B-cell screening to select antibodies in one day based on affinity and multiple binding properties,"RNA, Gene and Cell Therapies, and Enabling Assay Technologies",342,4/19/2026 2:00:00 PM,4/19/2026 5:00:00 PM,21,"Marie-Claire Phélipot, Eric Chabrol, Julie Lichière, Alice Aymard, alexandre Baagnolini, Nadjiba Marès, Cécile Lemoigne, Matthieu Tassa, Sophie Mesnard, Caroline Huber, Ester Morgado, Marion Seillier, Jacques Fieschi","Mimabs, Marseille, France","Purpose: The aim of this study was to establish a rapid and de-risked workflow enabling the selection and functional characterization of antibody-secreting plasma cells based on function, within a single day to streamline therapeutic antibody discovery. Methods: BALB/c and transgenic mice carrying human VH/Vκ repertoires were immunized with the recombinant extracellular domain of a tumor-associated immunomodulatory protein. High-titer animals were screened on the Bruker Beacon microfluidic platform, which isolates single plasma cells in nanowells and enables multiplexed assessment of their secreted antibodies. First, beads coated with the ligand and a soluble target conjugated to a fluorochrome allowed simultaneous evaluation of binding affinity and neutralizing capacity. In a second step, beads coated with a structural analog of the target were used to assess the cross-reactivity. Plasma cells producing antibodies of interest were exported for VH/VL amplification, sequencing, and cloning into a mammalian expression vector. Recombinant antibodies were produced and purified for in-depth characterization. Binding affinity and functional blocking were confirmed by biolayer interferometry, while internalization kinetics were quantified using a lanthanide-based pH-sensitive probe. In-silico sequence analysis and structural modeling were applied to identify potential liabilities and exclude clones at risk of poor developability. Results: The single-day screening workflow enabled high resolution discrimination of plasma cells based on fine differences in affinity and functional binding properties. 215 clones displayed high specificity for the target with no detectable cross-reactivity to analogs and effectively blocked target-ligand interactions. BLI confirmed the accuracy of the phenotypes identified on the microfluidic platform. Internalization assays identified a subset of antibodies with rapid uptake properties compatible with ADC development and computational filtering further refined the panel of antibodies of therapeutic interest by discarding clones with predicted structural liabilities or developability risks. Conclusions: This integrated and accelerated workflow provides high-resolution functional screening of antibody-secreting plasma cells in a single experiment. By combining affinity ranking, specificity and cross-reactivity assessment, neutralization, internalization profiling, and developability evaluation, our antibody discovery process efficiently yields diverse and high-value therapeutic antibody leads with strong potential for development as immunomodulators or ADC candidates.","M. Phélipot, | Mimabs Employment. | E. Chabrol, | Mimabs Employment. | J. Lichière, | Mimabs Employment. | A. Aymard, | Mimabs Employment. | A. Baagnolini, | Mimabs Employment. | N. Marès, | Mimabs Employment. | C. Lemoigne, | Mimabs Employment. | M. Tassa, | Mimabs Employment. | S. Mesnard, | Mimabs Employment. | C. Huber, | Mimabs Employment. | E. Morgado, | Mimabs Employment. | M. Seillier, | Mimabs Employment. | J. Fieschi, | Mimabs Employment.","Jacques Fieschi, PhD",Abstract Submission,Presenting,"Immunomodulation,Antibody engineering,Preclinical,Drug discovery,","++ET02-01 Antibody technologies,,",Beacon; Antibody Discovery,Antibody Discovery; Beacon + Bruker; Bruker,https://www.abstractsonline.com/pp8/#!/21436/presentation/5612
10006,1205,Trajectory-aware spatial transcriptomics deconvolution via image representation of RNA-seq data,Spatial Proteomics and Transcriptomics 1,272,4/19/2026 2:00:00 PM,4/19/2026 5:00:00 PM,6,"Junyan Liu, Md Tauhidul Islam, Lei Xing","Stanford University, Palo Alto, CA","Introduction: Intra-tumor heterogeneity across malignant clones, immune infiltrates and hypoxic niches drives spatially variable radiosensitivity within the same lesion. Spot‑based spatial transcriptomics (ST) affords location‑resolved gene expression across whole sections, yet each spot aggregates multiple cell types and states, obscuring the micro‑ecologies that define the tumour microenvironment (TME). Although single‑cell-resolution ST (e.g., imaging‑based transcriptomics) can localize transcripts at sub‑cellular scales, its cost, assay time and specialized infrastructure currently limit routine deployment in clinical settings. Accurate deconvolution of spot profiles into cell‑type/state proportions is therefore essential to derive mechanistic biomarkers such as subtype‑specific radiosensitivity scores or hypoxia indices that can guide biologically adaptive radiotherapy. However, existing deconvolution approaches that directly match ST expression to pre‑measured reference profiles are vulnerable to technical variation, including batch effects and gene dropouts, particularly when references and ST are generated on different platforms. In this study, we present an optimal transport (OT) framework for ST deconvolution that leverages the geometry of the gene‑expression manifold to stabilize estimates, yielding robust quantification of spot composition. Methods: We represent each spot’s gene expression profile as a “genomap” image, ensuring a consistent 2D arrangement of genes across samples. From these per‑spot genomap embeddings, we learn a graph using our previously developed “genoTrajectory” method to capture the manifold of spots. To estimate cell‑type compositions, we align the graph to a single‑cell reference atlas using optimal transport that integrates both gene‑expression similarity and manifold geometry, where the loss function consists of transcriptomic dissimilarity between spots and reference cells, and the geodesic distances between the graphs. Preliminary Results: We applied the geometry‑aware deconvolution to a breast cancer dataset with paired single‑cell-resolution ST (Xenium) and spot‑based Visium measurements. Using Xenium as the reference ground truth, our method achieved a mean Pearson correlation of r = 0.68 between predicted per‑spot cell‑type proportions and the Xenium‑derived proportions. Conclusion: Current results demonstrate promising performance for characterizing tumor microenvironment. Future work will expand validation to additional datasets, benchmarking against state-of-the-art methods, and extend analysis to the immune landscape and hypoxia status, with the goal of linking these features to radiotherapy response. Figure 1. Genomaps and genoTrajectory derived from spot‑based ST.","J. Liu, None.. | M. Islam, None.. | L. Xing, None.",Junyan Liu,Abstract Submission,Presenting,"Deep learning,Genomics,Gene expression,,","++CL01-08 Spatial proteomics and transcriptomics,,",Xenium; Visium,Xenium; Visium,https://www.abstractsonline.com/pp8/#!/21436/presentation/10006
10012,1210,"Integrated spatial and single-cell profiling uncovers a pre-existing, treatment-resistant subclone that drives early local relapse in luminal breast cancer",Spatial Proteomics and Transcriptomics 1,272,4/19/2026 2:00:00 PM,4/19/2026 5:00:00 PM,11,"Kazutaka Otsuji, Tomo Osako, Yoko Takahashi, Chikako Shibata, Sumito Saeki, Asumi Iesato, Tetsuo Noda, Kengo Takeuchi, Takayuki Ueno, Reo Maruyama","NEXT-Ganken Program, Japanese Foundation for Cancer Research, Koto-ku, Tokyo, Japan | Division of Pathology, Cancer Institute, Japanese Foundation for Cancer Research, Koto-ku, Tokyo, Japan | Breast Oncology Center, Cancer Institute Hospital of JFCR, Japanese Foundation for Cancer Research, Koto-ku, Tokyo, Japan | Division of Cancer Epigenomics, Cancer Institute, Japanese Foundation for Cancer Research, Koto-ku, Tokyo, Japan | Director's room, Japanese Foundation for Cancer Research, Koto-ku, Tokyo, Japan","Background Early local relapse during adjuvant endocrine therapy in hormone receptor (HR)-positive breast cancer, although uncommon, may reflect selection of pre-existing subclonal populations with intrinsic resistance. While endocrine resistance has been linked to aberrant cell-cycle activation and attenuated estrogen signaling, the spatial organization and transcriptional evolution of resistant subclones within tumors remain insufficiently resolved. Methods We performed multimodal profiling of paired primary and early local-relapse tumor specimens using the 10x Visium and Xenium spatial transcriptomics platforms. Additionally, a diagnostic core-needle biopsy obtained from the relapse lesion before resection underwent single-cell (sc) RNA sequencing. Spatial inferCNV was applied to Visium data to delineate clonal architecture and identify putative malignant subclones in an unbiased manner. Clone-specific transcriptional programs were characterized through differential expression and pathway enrichment analyses. Gene signatures derived from relapse scRNA-seq clusters were computationally projected onto the matched spatial transcriptomics data to map subclone-specific transcriptional phenotypes with high spatial resolution. Xenium profiling of the primary tumor was used to evaluate local microenvironmental features associated with resistant and responsive clones. Results Spatial inferCNV revealed marked clonal remodeling between the primary and relapse tumors: a minor primary-tumor subclone with distinct copy-number features expanded disproportionately and became the dominant malignant population at relapse. scRNA-seq demonstrated that transcriptional clusters corresponding to this conserved clone exhibited increased E2F target and G2/M checkpoint activity, concomitant with reduced estrogen-responsive signaling, consistent with an estrogen-independent proliferative phenotype. Single-cell resolution analysis of Xenium data from the primary tumor revealed that regions enriched for the resistant clone exhibited lower T-lymphocyte density compared to areas dominated by treatment-responsive subclones, suggesting early spatial segregation and microenvironmental differences that may have facilitated selective survival under endocrine therapy. Conclusions This integrated spatial and single-cell analysis of a rare rapid-relapse HR-positive breast cancer case demonstrates that a transcriptionally distinct, estrogen-independent, E2F-driven subclone was already embedded within the primary tumor and later seeded early local recurrence. These findings highlight the power of multimodal transcriptomics to uncover clinically occult resistant subclones and provide a framework for identifying patients at risk of early relapse despite standard adjuvant endocrine therapy.","K. Otsuji, None.. | T. Osako, None.. | Y. Takahashi, None.. | C. Shibata, None.. | S. Saeki, None.. | A. Iesato, None.. | T. Noda, None.. | K. Takeuchi, None.. | T. Ueno, None.. | R. Maruyama, None.","Kazutaka Otsuji, MD;PhD",Abstract Submission,Presenting,"Breast cancer,Tumor heterogeneity,Drug resistance,Clonal evolution,","++CL01-08 Spatial proteomics and transcriptomics,,",Xenium; Visium,Xenium; Visium; 10X,https://www.abstractsonline.com/pp8/#!/21436/presentation/10012
2974,1419,Integrated spatial and genetic lineage tracing uncovers cell state plasticity underlying recurrence in group3 and group4 medulloblastoma,Application of Bioinformatics to Cancer Biology 2,224,4/20/2026 9:00:00 AM,4/20/2026 12:00:00 PM,13,"Bohyeon Yu, Emanuele Filiberto Rosatti, Jangham Jung, Abhinav Jain, Joanna Phillips, Aaron Antonio Diaz","Department of Neurological Surgery, University of California, San Francisco, San Francisco, CA | Department of Cellular, Computational and Integrative Biology, University of Trento, Trentino, Italy","Recent studies place Group 3/4 medulloblastomas (G3/4 MBs) within the rhombic lip (RL)-derived glutamatergic lineage, indicating that a stalled differentiation program underlies their malignant evolution. However, it remains unclear whether these tumors retain the plasticity to transition within this lineage framework, and how their cellular states are reshaped in response to therapy. To address these questions, we constructed a single-cell multiomics atlas of G3/4 MBs using 84 tumor specimens from 38 patients, including 7 longitudinally matched cases collected through the University of California, San Francisco Brain Tumor Center (UCSF BTC) and the Children’s Brain Tumor Network (CBTN). From these samples, we generated single-nucleus transcriptomic and chromatin accessibility profiles from 57 frozen samples, and spatial transcriptomic profiles from 27 FFPE samples using Visium and Xenium. We also incorporated single-cell lineage-tracing data from intracranial xenografts derived from two G3 MB cell lines. Genetic lineage tracing integrating static barcodes with endogenous mutations demonstrated that xenografts recapitulate the developmental cell-type composition of treatment-naive primary human MBs, with barcode-defined individual clones maintaining highly similar and stable cell-type fractions. Comparison of matched primary and recurrent clinical tumors revealed no substantial differences in developmental composition. Despite this stability, phylogenetic analysis uncovered markedly increased plasticity in recurrent tumors, driven by dedifferentiation transitions from unipolar brush cell-like states to RL progenitor-like states. Tumor regions exhibiting high plasticity were spatially clustered and corresponded to structurally disorganized areas. Our work establishes cell-state plasticity as a defining feature of recurrent G3/4 MBs, providing a mechanistic framework for understanding recurrence following therapy.","B. Yu, None.. | E. F. Rosatti, None.. | J. Jung, None.. | A. Jain, None.. | J. Phillips, None.. | A. A. Diaz, None.","Bohyeon Yu, PhD",Abstract Submission,Presenting,"Cancer genetics,Medulloblastoma,Single cell,Multiomics,","++BCS01-02 Application of bioinformatics to cancer biology,,",Xenium; Visium,Xenium; Visium,https://www.abstractsonline.com/pp8/#!/21436/presentation/2974
