day,slot_time,slot_name,slot_presentation_count,slot_cross_platform_count,presentation_id,presentation_number,posterboard_number,title,session_title,start,affiliation,products,source_keywords,presentation_url
Apr 19,2:00 PM,Afternoon,72,4,10001,1201,2,Spatial 3D and multi-omics mapping of diffuse gastric cancer evolution from preinvasive to invasive lesions in CDH1 mutation carriers,Spatial Proteomics and Transcriptomics 1,4/19/2026 2:00:00 PM,"Department of Genomic Medicine, The University of Texas MD Anderson Cancer Center, Houston, TX | Department of Translational and Molecular Pathology, The University of Texas MD Anderson Cancer Center, Houston, TX | Department of Surgery, Vanderbilt University Medical Center, Nashville, TN | National Institute of Dental and Craniofacial Research, National Institutes of Health, Bethesda, MD | Department of Clinical Cancer Prevention, The University of Texas MD Anderson Cancer Center, Houston, TX | BioChemistry&Molecular Biology, University of Maryland School of Medicine, Baltimore, MD | University of Pennsylvania, Philadelphia, PA | Vice President, Acute Care Services, UT MD Anderson Cancer Ctr., Houston, TX | Department of Translational Molecular Pathology, the university of MD Anderson cancer center, Houston, TX",Xenium; Visium; CosMx; GeoMx; G4X,Xenium; Xenium + 5K; Visium; CosMx; GeoMx; G4X,https://www.abstractsonline.com/pp8/#!/21436/presentation/10001
Apr 19,2:00 PM,Afternoon,72,4,5612,478,21,Implementation of single B-cell screening to select antibodies in one day based on affinity and multiple binding properties,"RNA, Gene and Cell Therapies, and Enabling Assay Technologies",4/19/2026 2:00:00 PM,"Mimabs, Marseille, France",Beacon; Antibody Discovery,Antibody Discovery; Beacon + Bruker; Bruker,https://www.abstractsonline.com/pp8/#!/21436/presentation/5612
Apr 19,2:00 PM,Afternoon,72,4,10012,1210,11,"Integrated spatial and single-cell profiling uncovers a pre-existing, treatment-resistant subclone that drives early local relapse in luminal breast cancer",Spatial Proteomics and Transcriptomics 1,4/19/2026 2:00:00 PM,"NEXT-Ganken Program, Japanese Foundation for Cancer Research, Koto-ku, Tokyo, Japan | Division of Pathology, Cancer Institute, Japanese Foundation for Cancer Research, Koto-ku, Tokyo, Japan | Breast Oncology Center, Cancer Institute Hospital of JFCR, Japanese Foundation for Cancer Research, Koto-ku, Tokyo, Japan | Division of Cancer Epigenomics, Cancer Institute, Japanese Foundation for Cancer Research, Koto-ku, Tokyo, Japan | Director's room, Japanese Foundation for Cancer Research, Koto-ku, Tokyo, Japan",Xenium; Visium,Xenium; Visium; 10X,https://www.abstractsonline.com/pp8/#!/21436/presentation/10012
Apr 19,2:00 PM,Afternoon,72,4,10026,1223,24,Spatial transcriptomics identifies a suppressive T-cell excluded tumour microenvironment in extramedullary multiple myeloma,Spatial Proteomics and Transcriptomics 1,4/19/2026 2:00:00 PM,"Australian Centre for Blood Diseases, Alfred Health - Monash University, Melbourne, Australia | Translational Science and Therapeutics Division, Fred Hutchison Cancer Centre, Seattle, WA | Vaccine and Infectious Diseases Division, Fred Hutchison Cancer Centre, Seattle, WA | Vaccine and Infectious Diseases Division, Fred Hutchinson Cancer Centre, Seattle, WA",Xenium,Xenium; Xenium + 5K; 10X,https://www.abstractsonline.com/pp8/#!/21436/presentation/10026
Apr 19,2:00 PM,Afternoon,72,4,10006,1205,6,Trajectory-aware spatial transcriptomics deconvolution via image representation of RNA-seq data,Spatial Proteomics and Transcriptomics 1,4/19/2026 2:00:00 PM,"Stanford University, Palo Alto, CA",Xenium; Visium,Xenium; Visium,https://www.abstractsonline.com/pp8/#!/21436/presentation/10006
Apr 19,2:00 PM,Afternoon,72,4,3400,12,12,Integrative spatial multi-omics profiling enhanced by artificial intelligence reveals ancestry-associated molecular features in early-onset colorectal cancer among Southern California patients,AACR Project GENIE: Predictive Models and AI,4/19/2026 2:00:00 PM,"Department of Integrative Translational Sciences, City of Hope National Medical Center, Duarte, CA",Visium,Visium; 10X,https://www.abstractsonline.com/pp8/#!/21436/presentation/3400
Apr 19,2:00 PM,Afternoon,72,4,2945,50,12,Spatial transcriptomics uncovers patterns of transcriptional reprogramming and immune evasion in small cell lung cancer,Application of Bioinformatics to Cancer Biology 1,4/19/2026 2:00:00 PM,"Physiology, Biophysics, and Systems Biology, Weill Cornell Grad. School of Medical Sci., New York, NY | Memorial Sloan Kettering Cancer Center, New York, NY",Xenium,Xenium; 10X,https://www.abstractsonline.com/pp8/#!/21436/presentation/2945
Apr 19,2:00 PM,Afternoon,72,4,2960,65,27,Integrating spatial transcriptomics and digital pathology with whole-genome data from Genomics England to characterise the tumour and it's microenvironment in colorectal cancer,Application of Bioinformatics to Cancer Biology 1,4/19/2026 2:00:00 PM,"School of Cancer Sciences, University of Glasgow, Glasgow, United Kingdom | Genomics England Limited, London, United Kingdom | Division of Pathology and Data Analytics, University of Leeds, Leeds, United Kingdom | School of Computer Science, University of Leeds, Leeds, United Kingdom",CosMx,CosMx; Bruker,https://www.abstractsonline.com/pp8/#!/21436/presentation/2960
Apr 19,2:00 PM,Afternoon,72,4,3200,94,1,Liquid biopsy profiling of the tumor microenvironment to determine response to immunotherapy regimens across solid tumors,Liquid Biopsy: Multi-Analyte and Multi-Omic,4/19/2026 2:00:00 PM,"Stanford University School of Medicine, Stanford, CA | Washington University in St. Louis, St. Louis, MO | Mayo Clinic, Rochester, MN | Oslo University Hospital and University of Oslo, Oslo, Norway | Medical College of Wisconsin, Milwaukee, WI | Yale University School of Medicine, New Haven, CT | Columbia University, New York, NY | University of Rochester School of Medicine, Rochester, NY",Visium,Visium; 10X,https://www.abstractsonline.com/pp8/#!/21436/presentation/3200
Apr 19,2:00 PM,Afternoon,72,4,7216,667,15,Mapping and targeting spatial heterogeneity in CRC through patient-derived organoids,"Ex Vivo Systems: Patient-Derived, Patient-Specific Tumor Cultures",4/19/2026 2:00:00 PM,"Oncology, CHUV, Centre hospitalier universitaire vaudois, Lausanne, Switzerland | EPFL, Lausanne, Switzerland",Xenium,Xenium; 10X,https://www.abstractsonline.com/pp8/#!/21436/presentation/7216
